Date,Fatal,Serious,Slight
2016-2-26,5,47,298
2016-2-27,6,49,196
2016-2-28,2,55,204
2016-2-29,3,48,307
2016-3-1,3,35,183
2016-3-2,6,59,352
2016-3-3,2,57,391
2016-3-4,4,53,220
2016-3-5,7,76,330
2016-3-6,4,66,307
2016-3-7,4,75,236
2016-3-8,3,64,283
2016-3-9,4,66,302
2016-3-10,5,87,349
2016-3-11,6,59,387
2016-3-12,6,52,273
2016-3-13,2,78,235
2016-3-14,,65,319
2016-3-15,4,50,277
2016-3-16,3,57,314
2016-3-17,2,46,321
2016-3-18,1,59,317
2016-3-19,2,58,223
2016-3-20,6,52,199
2016-3-21,7,33,261
2016-3-22,4,53,274
2016-3-23,2,45,257
2016-3-24,5,60,382
2016-3-25,10,59,281
2016-3-26,4,38,236
2016-3-27,3,49,217
2016-3-28,5,32,206
2016-3-29,5,49,280
2016-3-30,5,43,313
2016-3-31,7,65,307
2016-4-1,6,56,287
2016-4-2,6,66,332
2016-4-3,6,72,382
2016-4-4,4,42,307
2016-4-5,3,54,372
2016-4-6,7,58,235
2016-4-7,5,62,269
2016-4-8,3,54,263
2016-4-9,6,37,240
2016-4-10,5,60,328
2016-4-11,1,98,420
2016-4-12,4,49,280
2016-4-13,6,54,283
2016-4-14,6,52,319
2016-4-15,3,63,359
2016-4-16,,42,297
2016-4-17,4,49,214
2016-4-18,1,43,253
2016-4-19,6,58,383
2016-4-20,7,87,351
2016-4-21,4,59,329
2016-4-22,1,56,343
2016-4-23,7,65,260
2016-4-24,5,41,203
2016-4-25,6,44,297
2016-4-26,4,40,314
2016-4-27,8,59,333
2016-4-28,4,47,336
2016-4-29,7,56,402
2016-4-30,4,52,317
2016-5-1,,56,296
2016-5-2,3,74,356
2016-5-3,6,50,266
2016-5-4,6,49,254
2016-5-5,3,71,347
2016-5-6,8,74,259
2016-5-7,5,66,309
2016-5-8,3,71,355
2016-5-9,7,60,317
2016-5-10,3,81,380
2016-5-11,6,67,302
2016-5-12,4,56,334
2016-5-13,4,52,335
2016-5-14,8,61,288
2016-5-15,7,71,214
2016-5-16,5,59,314
2016-5-17,3,51,297
2016-5-18,2,46,323
2016-5-19,1,58,314
2016-5-20,11,56,336
2016-5-21,1,64,256
2016-5-22,8,68,232
2016-5-23,4,55,324
2016-5-24,5,56,291
2016-5-25,2,53,308
2016-5-26,3,61,367
2016-5-27,5,70,378
2016-5-28,5,66,292
2016-5-29,6,61,272
2016-5-30,4,51,206
2016-5-31,4,58,308
2016-6-1,3,56,329
2016-6-2,5,55,318
2016-6-3,3,58,202
2016-6-4,2,37,307
2016-6-5,2,59,303
2016-6-6,3,76,370
2016-6-7,3,62,328
2016-6-8,5,59,289
2016-6-9,2,71,289
2016-6-10,2,72,324
2016-6-11,2,46,269
2016-6-12,5,56,341
2016-6-13,3,60,337
2016-6-14,3,54,335
2016-6-15,2,50,319
2016-6-16,10,59,349
2016-6-17,5,56,372
2016-6-18,5,51,242
2016-6-19,6,54,245
2016-6-20,8,67,362
2016-6-21,2,52,310
2016-6-22,3,56,316
2016-6-23,2,64,337
2016-6-24,6,71,343
2016-6-25,1,69,258
2016-6-26,3,56,252
2016-6-27,5,43,296
2016-6-28,4,56,322
2016-6-29,1,56,334
2016-6-30,4,57,296
2016-7-1,4,55,359
2016-7-2,4,55,233
2016-7-3,5,57,370
2016-7-4,2,26,276
2016-7-5,5,65,313
2016-7-6,6,63,298
2016-7-7,4,67,309
2016-7-8,8,81,264
2016-7-9,5,66,307
2016-7-10,4,65,304
2016-7-11,7,71,349
2016-7-12,3,76,408
2016-7-13,3,69,332
2016-7-14,7,73,344
2016-7-15,4,62,313
2016-7-16,3,57,288
2016-7-17,4,63,289
2016-7-18,4,67,384
2016-7-19,7,97,378
2016-7-20,6,68,378
2016-7-21,5,72,324
2016-7-22,3,74,315
2016-7-23,1,72,313
2016-7-24,8,67,233
2016-7-25,4,38,299
2016-7-26,1,60,289
2016-7-27,4,51,323
2016-7-28,5,51,294
2016-7-29,3,62,307
2016-7-30,9,78,275
2016-7-31,8,82,232
2016-8-1,11,66,407
2016-8-2,,43,324
2016-8-3,3,51,287
2016-8-4,5,49,303
2016-8-5,7,78,298
2016-8-6,2,63,333
2016-8-7,5,81,356
2016-8-8,5,59,286
2016-8-9,8,70,347
2016-8-10,7,61,268
2016-8-11,2,59,373
2016-8-12,7,71,394
2016-8-13,8,69,287
2016-8-14,8,55,213
2016-8-15,5,68,327
2016-8-16,2,65,330
2016-8-17,5,81,341
2016-8-18,4,60,301
2016-8-19,4,57,413
2016-8-20,6,58,268
2016-8-21,9,38,233
2016-8-22,2,40,257
2016-8-23,4,71,330
2016-8-24,2,73,291
2016-8-25,3,51,337
2016-8-26,8,58,417
2016-8-27,2,58,265
2016-8-28,4,60,227
2016-8-29,7,69,270
2016-8-30,4,73,338
2016-8-31,5,50,285
2016-9-1,6,59,272
2016-9-2,4,61,360
2016-9-3,3,52,300
2016-9-4,6,48,269
2016-9-5,3,64,350
2016-9-6,7,67,300
2016-9-7,3,62,247
2016-9-8,4,65,311
2016-9-9,4,65,352
2016-9-10,3,53,240
2016-9-11,3,56,375
2016-9-12,7,72,440
2016-9-13,6,80,344
2016-9-14,2,82,353
2016-9-15,9,78,350
2016-9-16,6,66,360
2016-9-17,6,60,262
2016-9-18,3,54,233
2016-9-19,5,52,340
2016-9-20,4,53,288
2016-9-21,5,65,321
2016-9-22,4,75,329
2016-9-23,9,88,375
2016-9-24,5,47,268
2016-9-25,3,70,246
2016-9-26,4,45,335
2016-9-27,5,52,291
2016-9-28,,79,345
2016-9-29,6,65,358
2016-9-30,9,74,415
2016-10-1,4,38,219
